sample_index,candidate,global_shift_tv
180,mean_q_softmax,1.3877787807814457e-16
180,mass_times_exp_mean_q,9.80118763926896e-17
180,partition_sum,1.0581813203458523e-16
181,mean_q_softmax,8.00683304380545e-17
181,mass_times_exp_mean_q,1.4235574524734673e-16
181,partition_sum,4.8138576458356397e-17
182,mean_q_softmax,1.5785983631388945e-16
182,mass_times_exp_mean_q,2.1975422783565568e-16
182,partition_sum,4.935830390240259e-17
183,mean_q_softmax,7.8984128265569e-17
183,mass_times_exp_mean_q,9.540979117872439e-17
183,partition_sum,5.0523821237824507e-17
184,mean_q_softmax,1.2826111700503517e-16
184,mass_times_exp_mean_q,1.4983674023749671e-16
184,partition_sum,9.324138683375338e-17
185,mean_q_softmax,8.989391262620439e-17
185,mass_times_exp_mean_q,7.085261197192771e-17
185,partition_sum,1.597029800071148e-16
186,mean_q_softmax,2.303387515445454e-16
186,mass_times_exp_mean_q,4.0657581468206416e-16
186,partition_sum,5.887217796596289e-17
187,mean_q_softmax,4.401860820291148e-17
187,mass_times_exp_mean_q,1.0885389811754465e-16
187,partition_sum,8.370040771588094e-17
188,mean_q_softmax,1.734723475976807e-16
188,mass_times_exp_mean_q,1.6241348543832856e-16
188,partition_sum,1.6176296413483726e-16
189,mean_q_softmax,9.107298248878237e-17
189,mass_times_exp_mean_q,7.112366251504909e-17
189,partition_sum,5.0306980803327406e-17
190,mean_q_softmax,1.0572199379507187e-16
190,mass_times_exp_mean_q,2.610216730258852e-16
190,partition_sum,2.4817387728193196e-16
191,mean_q_softmax,2.0464316005663896e-16
191,mass_times_exp_mean_q,2.850367511464391e-16
191,partition_sum,9.627715291671279e-17
192,mean_q_softmax,7.085261197192771e-17
192,mass_times_exp_mean_q,2.0691998461885852e-16
192,partition_sum,4.1795993749316196e-17
193,mean_q_softmax,8.508276548579996e-17
193,mass_times_exp_mean_q,9.64939933512099e-17
193,partition_sum,8.380882793312949e-17
194,mean_q_softmax,1.471533398605951e-16
194,mass_times_exp_mean_q,1.5916087892087205e-16
194,partition_sum,1.216474837528736e-16
195,mean_q_softmax,6.158268339717665e-17
195,mass_times_exp_mean_q,1.4096661121384968e-16
195,partition_sum,3.10623922417097e-17
196,mean_q_softmax,1.1085967213664283e-16
196,mass_times_exp_mean_q,1.6702134467139196e-16
196,partition_sum,1.0299920638612292e-16
197,mean_q_softmax,7.806255641895632e-17
197,mass_times_exp_mean_q,9.71445146547012e-17
197,partition_sum,1.3877787807814457e-16
198,mean_q_softmax,2.933851078745775e-16
198,mass_times_exp_mean_q,1.8973538018496328e-16
198,partition_sum,5.0306980803327406e-17
199,mean_q_softmax,1.4761412578390143e-16
199,mass_times_exp_mean_q,1.9727058528373753e-16
199,partition_sum,1.037039377982385e-16
200,mean_q_softmax,1.9152431376956436e-16
200,mass_times_exp_mean_q,1.7141236346995825e-16
200,partition_sum,4.466912950640278e-17
201,mean_q_softmax,8.082727195879436e-17
201,mass_times_exp_mean_q,6.136584296267955e-17
201,partition_sum,3.491130995403324e-17
202,mean_q_softmax,1.698970215273203e-16
