sample_index,hierarchical_probability_error,maxent_stationarity_range
254,1.1102230246251565e-16,4.440892098500626e-16
255,2.7755575615628914e-17,4.440892098500626e-16
256,1.1102230246251565e-16,2.220446049250313e-16
257,5.551115123125783e-17,2.220446049250313e-16
258,1.1102230246251565e-16,2.220446049250313e-16
259,5.551115123125783e-17,2.220446049250313e-16
260,5.551115123125783e-17,2.220446049250313e-16
261,5.551115123125783e-17,3.3306690738754696e-16
262,1.1102230246251565e-16,3.3306690738754696e-16
263,2.7755575615628914e-17,3.885780586188048e-16
264,0.0,2.220446049250313e-16
265,8.326672684688674e-17,4.440892098500626e-16
266,4.163336342344337e-17,3.3306690738754696e-16
267,2.7755575615628914e-17,3.3306690738754696e-16
268,5.551115123125783e-17,3.3306690738754696e-16
269,5.551115123125783e-17,2.220446049250313e-16
270,1.3877787807814457e-17,3.3306690738754696e-16
271,5.551115123125783e-17,5.551115123125783e-16
272,6.938893903907228e-18,3.3306690738754696e-16
273,2.7755575615628914e-17,4.440892098500626e-16
274,2.7755575615628914e-17,4.440892098500626e-16
275,5.551115123125783e-17,4.440892098500626e-16
276,5.551115123125783e-17,5.551115123125783e-16
277,2.7755575615628914e-17,2.7755575615628914e-16
278,5.551115123125783e-17,4.440892098500626e-16
279,1.6653345369377348e-16,4.440892098500626e-16
280,2.7755575615628914e-17,4.440892098500626e-16
281,5.551115123125783e-17,4.996003610813204e-16
282,4.163336342344337e-17,4.996003610813204e-16
283,1.1102230246251565e-16,3.3306690738754696e-16
284,2.7755575615628914e-17,4.440892098500626e-16
285,5.551115123125783e-17,3.3306690738754696e-16
286,1.3877787807814457e-16,4.440892098500626e-16
287,5.551115123125783e-17,4.440892098500626e-16
288,5.551115123125783e-17,4.440892098500626e-16
289,1.3877787807814457e-17,2.220446049250313e-16
290,5.551115123125783e-17,4.440892098500626e-16
291,1.3877787807814457e-17,3.3306690738754696e-16
292,5.551115123125783e-17,4.440892098500626e-16
293,5.551115123125783e-17,4.440892098500626e-16
294,5.551115123125783e-17,4.440892098500626e-16
295,2.7755575615628914e-17,3.885780586188048e-16
296,5.551115123125783e-17,4.440892098500626e-16
297,5.551115123125783e-17,8.881784197001252e-16
298,0.0,5.551115123125783e-16
299,5.551115123125783e-17,3.3306690738754696e-16
300,6.938893903907228e-18,4.440892098500626e-16
301,2.7755575615628914e-17,6.661338147750939e-16
302,5.551115123125783e-17,5.551115123125783e-16
303,1.1102230246251565e-16,6.661338147750939e-16
304,1.1102230246251565e-16,4.440892098500626e-16
305,1.3877787807814457e-17,4.440892098500626e-16
306,5.551115123125783e-17,4.440892098500626e-16
307,2.7755575615628914e-17,1.1102230246251565e-16
308,2.7755575615628914e-17,4.440892098500626e-16
309,5.551115123125783e-17,2.220446049250313e-16
310,2.7755575615628914e-17,3.3306690738754696e-16
311,2.7755575615628914e-17,4.996003610813204e-16
312,1.1102230246251565e-16,4.440892098500626e-16
313,5.551115123125783e-17,5.551115123125783e-16
314,4.336808689942018e-19,0.0
315,1.1102230246251565e-16,5.551115123125783e-16
316,4.163336342344337e-17,6.661338147750939e-16
317,6.938893903907228e-18,4.440892098500626e-16
318,8.326672684688674e-17,3.3306690738754696e-16
319,2.7755575615628914e-17,4.996003610813204e-16
320,5.551115123125783e-17,4.440892098500626e-16
321,1.1102230246251565e-16,2.220446049250313e-16
322,6.938893903907228e-18,3.885780586188048e-16
323,2.7755575615628914e-17,4.440892098500626e-16
324,1.1102230246251565e-16,3.3306690738754696e-16
325,1.3877787807814457e-17,2.220446049250313e-16
326,5.551115123125783e-17,2.220446049250313e-16
327,1.1102230246251565e-16,4.440892098500626e-16
328,8.326672684688674e-17,5.551115123125783e-16
329,2.220446049250313e-16,6.661338147750939e-16
330,1.1102230246251565e-16,4.440892098500626e-16
331,5.551115123125783e-17,3.3306690738754696e-16
332,5.551115123125783e-17,4.440892098500626e-16
333,5.551115123125783e-17,6.661338147750939e-16
334,1.3877787807814457e-17,4.440892098500626e-16
335,1.3877787807814457e-17,3.3306690738754696e-16
336,2.7755575615628914e-17,4.440892098500626e-16
337,1.1102230246251565e-16,4.440892098500626e-16
338,5.551115123125783e-17,2.7755575615628914e-16
339,1.1102230246251565e-16,4.440892098500626e-16
340,1.3877787807814457e-17,4.996003610813204e-16
341,1.1102230246251565e-16,3.3306690738754696e-16
342,2.7755575615628914e-17,4.996003610813204e-16
343,0.0,1.6653345369377348e-16
344,5.551115123125783e-17,6.661338147750939e-16
345,2.7755575615628914e-17,4.440892098500626e-16
346,2.0816681711721685e-17,4.440892098500626e-16
347,2.7755575615628914e-17,6.661338147750939e-16
348,1.3877787807814457e-17,4.440892098500626e-16
349,5.551115123125783e-17,4.996003610813204e-16
350,5.551115123125783e-17,2.220446049250313e-16
351,5.551115123125783e-17,4.440892098500626e-16
352,5.551115123125783e-17,2.7755575615628914e-16
353,1.6653345369377348e-16,3.3306690738754696e-16
