sample_index,maximum_recursive_partition_sum_error
798,2.220446049250313e-16
799,5.551115123125783e-17
800,5.551115123125783e-17
801,2.220446049250313e-16
802,4.440892098500626e-16
803,4.440892098500626e-16
804,5.551115123125783e-17
805,2.220446049250313e-16
806,4.440892098500626e-16
807,1.1102230246251565e-16
808,2.220446049250313e-16
809,5.551115123125783e-17
810,4.440892098500626e-16
811,1.1102230246251565e-16
812,2.220446049250313e-16
813,4.440892098500626e-16
814,2.220446049250313e-16
815,4.440892098500626e-16
816,2.220446049250313e-16
817,0.0
818,0.0
819,4.440892098500626e-16
820,4.440892098500626e-16
821,2.220446049250313e-16
822,8.881784197001252e-16
823,8.881784197001252e-16
824,4.440892098500626e-16
825,1.1102230246251565e-16
826,2.220446049250313e-16
827,2.220446049250313e-16
828,1.1102230246251565e-16
829,2.220446049250313e-16
830,4.440892098500626e-16
831,1.1102230246251565e-16
832,4.440892098500626e-16
833,4.440892098500626e-16
834,8.881784197001252e-16
835,4.440892098500626e-16
836,5.551115123125783e-17
837,2.220446049250313e-16
838,2.220446049250313e-16
839,2.220446049250313e-16
840,2.220446049250313e-16
841,0.0
842,4.440892098500626e-16
843,2.220446049250313e-16
844,4.440892098500626e-16
845,4.440892098500626e-16
846,2.220446049250313e-16
847,2.220446049250313e-16
848,4.440892098500626e-16
849,4.440892098500626e-16
850,4.440892098500626e-16
851,4.440892098500626e-16
852,1.7763568394002505e-15
853,4.440892098500626e-16
854,8.881784197001252e-16
855,4.440892098500626e-16
856,2.220446049250313e-16
857,4.440892098500626e-16
858,4.440892098500626e-16
859,4.440892098500626e-16
860,8.881784197001252e-16
861,8.881784197001252e-16
862,4.440892098500626e-16
863,2.220446049250313e-16
864,4.440892098500626e-16
865,4.440892098500626e-16
866,0.0
867,4.440892098500626e-16
868,4.440892098500626e-16
869,4.440892098500626e-16
870,0.0
871,4.440892098500626e-16
872,2.220446049250313e-16
873,1.1102230246251565e-16
874,4.440892098500626e-16
875,2.220446049250313e-16
876,2.220446049250313e-16
877,8.881784197001252e-16
878,2.220446049250313e-16
879,2.220446049250313e-16
880,6.661338147750939e-16
881,4.440892098500626e-16
882,2.220446049250313e-16
883,1.1102230246251565e-16
884,2.220446049250313e-16
885,2.220446049250313e-16
886,4.440892098500626e-16
887,4.440892098500626e-16
888,2.220446049250313e-16
889,5.551115123125783e-17
890,2.220446049250313e-16
891,2.220446049250313e-16
892,8.881784197001252e-16
893,2.220446049250313e-16
894,2.220446049250313e-16
895,2.220446049250313e-16
896,1.1102230246251565e-16
897,2.220446049250313e-16
898,2.220446049250313e-16
899,2.220446049250313e-16
900,8.881784197001252e-16
901,4.440892098500626e-16
902,8.881784197001252e-16
903,4.440892098500626e-16
904,8.881784197001252e-16
905,2.220446049250313e-16
906,4.440892098500626e-16
907,2.220446049250313e-16
908,1.1102230246251565e-16
909,2.220446049250313e-16
910,0.0
911,2.220446049250313e-16
912,4.440892098500626e-16
913,2.220446049250313e-16
914,0.0
915,2.220446049250313e-16
916,4.440892098500626e-16
917,8.881784197001252e-16
918,2.220446049250313e-16
919,4.440892098500626e-16
920,8.673617379884035e-19
921,2.7755575615628914e-17
922,4.440892098500626e-16
923,2.220446049250313e-16
924,0.0
925,4.440892098500626e-16
926,4.440892098500626e-16
927,2.220446049250313e-16
928,0.0
929,5.551115123125783e-17
930,2.220446049250313e-16
931,2.220446049250313e-16
932,2.220446049250313e-16
933,2.220446049250313e-16
934,2.220446049250313e-16
935,4.440892098500626e-16
936,1.1102230246251565e-16
937,1.1102230246251565e-16
938,2.220446049250313e-16
939,4.440892098500626e-16
940,4.440892098500626e-16
941,4.440892098500626e-16
942,1.1102230246251565e-16
943,4.440892098500626e-16
944,1.1102230246251565e-16
945,8.881784197001252e-16
946,1.1102230246251565e-16
947,4.440892098500626e-16
948,8.881784197001252e-16
949,4.440892098500626e-16
950,2.220446049250313e-16
951,4.440892098500626e-16
952,2.220446049250313e-16
953,4.440892098500626e-16
954,4.440892098500626e-16
955,4.440892098500626e-16
956,8.881784197001252e-16
957,0.0
958,1.1102230246251565e-16
959,2.220446049250313e-16
960,4.440892098500626e-16
961,4.440892098500626e-16
962,1.1102230246251565e-16
963,4.440892098500626e-16
964,4.440892098500626e-16
965,4.440892098500626e-16
966,8.881784197001252e-16
967,2.220446049250313e-16
968,0.0
969,1.1102230246251565e-16
970,2.220446049250313e-16
971,2.220446049250313e-16
972,4.440892098500626e-16
973,2.220446049250313e-16
974,8.881784197001252e-16
975,4.440892098500626e-16
976,4.440892098500626e-16
977,0.0
978,4.440892098500626e-16
979,1.1102230246251565e-16
980,2.220446049250313e-16
981,2.220446049250313e-16
982,2.220446049250313e-16
983,2.220446049250313e-16
984,2.220446049250313e-16
985,1.1102230246251565e-16
986,4.440892098500626e-16
987,2.7755575615628914e-17
988,6.938893903907228e-18
989,2.220446049250313e-16
990,2.220446049250313e-16
991,4.440892098500626e-16
992,2.220446049250313e-16
993,0.0
994,2.220446049250313e-16
995,2.220446049250313e-16
996,2.220446049250313e-16
997,2.220446049250313e-16
998,4.440892098500626e-16
999,1.1102230246251565e-16
1000,2.220446049250313e-16
1001,2.220446049250313e-16
