sample_index,n,candidate,maximum_pairwise_tree_tv,mean_target_tv,maximum_target_tv
31,20,base_mass,1.6219664500383146e-16,4.654841327204432e-17,1.48318857196017e-16
31,20,mean_q_softmax,0.694174108668913,0.43415105565221107,0.6275367654594917
31,20,mass_times_exp_mean_q,0.24438266215697504,0.12245712423620041,0.16125822705464782
31,20,partition_sum,1.83772268236293e-16,8.543513119185775e-17,1.5916087892087205e-16
32,24,uniform_child,0.6354166666666666,0.34722222222222227,0.4583333333333333
32,24,descendant_count,6.245004513516506e-17,1.3299546649155522e-17,4.163336342344337e-17
32,24,base_mass,1.3314002678121994e-16,4.5825611823720656e-17,7.155734338404329e-17
32,24,mean_q_softmax,0.684088342699302,0.4970874847020337,0.5610847667275418
32,24,mass_times_exp_mean_q,0.30086707979787886,0.1290626384497483,0.1845376342931554
32,24,partition_sum,1.988968885424658e-16,7.143537063963867e-17,1.0546576632852744e-16
33,11,uniform_child,0.6273148148148149,0.2996632996632997,0.48484848484848486
33,11,descendant_count,6.245004513516506e-17,3.469446951953614e-17,6.245004513516506e-17
