sample_index,offset,effective_distance_scaling_relative_error,normalized_distance_invariance_error,centered_q_invariance_error
72,-2.0,3.6666663120613925e-16,4.440892098500626e-16,5.551115123125783e-16
72,-0.5,3.523439768298842e-16,4.440892098500626e-16,2.220446049250313e-16
72,0.75,4.2607256307789763e-16,4.440892098500626e-16,2.220446049250313e-16
72,1.6,4.1188696489636707e-16,4.440892098500626e-16,3.3306690738754696e-16
73,-2.0,3.8389765391034576e-16,4.440892098500626e-16,4.440892098500626e-16
73,-0.5,3.3567116275817127e-16,2.220446049250313e-16,2.220446049250313e-16
73,0.75,3.846855931914147e-16,4.440892098500626e-16,2.220446049250313e-16
73,1.6,3.3249952974155917e-16,4.440892098500626e-16,3.3306690738754696e-16
74,-2.0,3.721433083544566e-16,6.661338147750939e-16,3.3306690738754696e-16
74,-0.5,3.3594942109858986e-16,4.440892098500626e-16,2.220446049250313e-16
74,0.75,3.735240385915231e-16,6.661338147750939e-16,2.220446049250313e-16
74,1.6,3.721842841182776e-16,4.440892098500626e-16,3.3306690738754696e-16
75,-2.0,4.289060647860858e-16,8.881784197001252e-16,3.3306690738754696e-16
75,-0.5,3.1248485846199725e-16,4.440892098500626e-16,2.220446049250313e-16
75,0.75,3.366634047638942e-16,4.440892098500626e-16,2.220446049250313e-16
75,1.6,3.846170055986051e-16,3.3306690738754696e-16,4.440892098500626e-16
76,-2.0,4.232122685200527e-16,6.661338147750939e-16,4.440892098500626e-16
76,-0.5,3.436421565963778e-16,4.440892098500626e-16,2.220446049250313e-16
76,0.75,4.0404745450686603e-16,4.440892098500626e-16,2.220446049250313e-16
76,1.6,3.4887636818437803e-16,4.440892098500626e-16,4.440892098500626e-16
77,-2.0,4.609494526166956e-16,4.440892098500626e-16,2.7755575615628914e-16
77,-0.5,2.125843330137314e-16,6.661338147750939e-16,1.1102230246251565e-16
77,0.75,4.180872047009996e-16,4.440892098500626e-16,1.6653345369377348e-16
77,1.6,4.024205642045543e-16,4.440892098500626e-16,2.7755575615628914e-16
78,-2.0,4.411118953022135e-16,6.661338147750939e-16,6.661338147750939e-16
78,-0.5,3.418269840426533e-16,4.440892098500626e-16,1.1102230246251565e-16
78,0.75,2.800059924895547e-16,4.440892098500626e-16,2.220446049250313e-16
78,1.6,3.8635480914666424e-16,4.440892098500626e-16,2.220446049250313e-16
79,-2.0,4.39060849717803e-16,4.440892098500626e-16,2.7755575615628914e-16
79,-0.5,3.224646045039738e-16,4.440892098500626e-16,2.220446049250313e-16
79,0.75,3.695506240320502e-16,4.440892098500626e-16,1.6653345369377348e-16
79,1.6,4.1515101494509096e-16,4.440892098500626e-16,4.440892098500626e-16
