n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,local_log_odds_shift_error,beta_q_scale_degeneracy_error
32,55,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.19737575764567952,0.0,5.551115123125783e-17
32,56,True,True,1.942890293094024e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.14724737703786694,0.0,1.6653345369377348e-16
32,57,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.40048840773384625,4.440892098500626e-16,1.1102230246251565e-16
32,58,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.11582802786229524,4.440892098500626e-16,1.1102230246251565e-16
32,59,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.3533506764256731,0.0,1.1102230246251565e-16
32,60,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.160002442022278,0.0,1.1102230246251565e-16
32,61,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.36982645858760854,0.0,1.1102230246251565e-16
32,62,True,True,1.1102230246251565e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,0.22339625066791913,0.0,1.1102230246251565e-16
32,63,True,True,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.10401354139887989,0.0,1.1102230246251565e-16
32,64,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.31964462140418215,0.0,1.1102230246251565e-16
32,65,True,True,5.551115123125783e-17,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.28109968597869495,8.881784197001252e-16,1.1102230246251565e-16
32,66,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.6041587418793515,0.0,1.1102230246251565e-16
32,67,True,True,1.6653345369377348e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.20905320452066878,0.0,2.220446049250313e-16
32,68,True,True,1.6653345369377348e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.23280977741624287,0.0,1.1102230246251565e-16
32,69,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.19238860474428368,4.440892098500626e-16,1.1102230246251565e-16
32,70,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.17590669153985175,0.0,1.1102230246251565e-16
