sample_index,maximum_count_measure_error
964,2.7755575615628914e-17
965,2.7755575615628914e-17
966,2.7755575615628914e-17
967,1.1102230246251565e-16
968,2.7755575615628914e-17
969,1.3877787807814457e-17
970,1.3877787807814457e-17
971,2.7755575615628914e-17
972,1.3877787807814457e-17
973,5.551115123125783e-17
974,2.7755575615628914e-17
975,1.3877787807814457e-17
976,5.551115123125783e-17
977,0.0
978,1.3877787807814457e-17
979,2.7755575615628914e-17
980,5.551115123125783e-17
981,5.551115123125783e-17
982,1.1102230246251565e-16
983,2.7755575615628914e-17
984,0.0
985,0.0
986,1.3877787807814457e-17
987,0.0
988,1.3877787807814457e-17
989,1.1102230246251565e-16
990,2.7755575615628914e-17
991,2.7755575615628914e-17
992,2.7755575615628914e-17
993,5.551115123125783e-17
994,2.7755575615628914e-17
995,2.7755575615628914e-17
996,5.551115123125783e-17
997,5.551115123125783e-17
998,0.0
999,1.1102230246251565e-16
1000,2.7755575615628914e-17
1001,0.0
1002,5.551115123125783e-17
1003,2.7755575615628914e-17
1004,2.7755575615628914e-17
1005,5.551115123125783e-17
1006,2.7755575615628914e-17
1007,5.551115123125783e-17
1008,1.3877787807814457e-17
1009,2.7755575615628914e-17
1010,2.7755575615628914e-17
1011,2.7755575615628914e-17
1012,2.7755575615628914e-17
1013,2.7755575615628914e-17
1014,5.551115123125783e-17
1015,2.7755575615628914e-17
1016,2.7755575615628914e-17
1017,5.551115123125783e-17
1018,2.7755575615628914e-17
1019,2.7755575615628914e-17
1020,1.3877787807814457e-17
1021,2.7755575615628914e-17
1022,2.7755575615628914e-17
1023,5.551115123125783e-17
1024,0.0
1025,2.7755575615628914e-17
1026,2.7755575615628914e-17
1027,1.3877787807814457e-17
1028,0.0
1029,1.3877787807814457e-17
1030,2.7755575615628914e-17
1031,5.551115123125783e-17
1032,2.7755575615628914e-17
1033,2.7755575615628914e-17
1034,1.3877787807814457e-17
1035,2.7755575615628914e-17
1036,2.7755575615628914e-17
