sample_index,macro_count,first_total_leaves,second_total_leaves,counting_measure_tv
78,7,61,81,0.4128718882817244
79,9,133,109,0.3354487135269366
80,4,53,66,0.059748427672956
81,7,84,80,0.33630952380952384
82,14,118,183,0.4525794202093174
83,6,88,60,0.26363636363636367
84,7,83,73,0.4203663970952302
85,12,154,176,0.2800324675324675
86,13,163,146,0.3890242877552735
87,13,155,176,0.22162756598240474
88,6,101,84,0.22123998114097126
89,5,65,53,0.2966618287373004
90,4,56,54,0.2744708994708995
91,13,188,152,0.19610862262038076
92,15,197,169,0.3750638272309494
93,9,117,95,0.28843904633378314
94,7,83,75,0.3418473895582329
95,10,114,145,0.2309739866908651
96,15,201,253,0.17825890311289405
97,6,55,93,0.3196480938416422
98,6,95,82,0.23863928112965338
99,6,74,58,0.3849021435228332
100,9,84,137,0.35731664928745216
101,10,120,142,0.12323943661971828
102,16,144,205,0.3681910569105691
103,16,167,182,0.3903730999539382
104,4,26,44,0.11713286713286716
105,10,152,105,0.44837092731829575
106,17,169,225,0.32194608809993425
107,12,190,162,0.23157894736842108
108,11,124,148,0.3413251961639059
