n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,beta_q_scale_degeneracy_error
32,63,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.1460016701523117,1.1102230246251565e-16
32,64,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.34536382326828863,1.1102230246251565e-16
32,65,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.38638354921745577,1.6653345369377348e-16
32,66,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3173657567780782,1.1102230246251565e-16
32,67,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.2761002390844926,1.1102230246251565e-16
32,68,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.3101884435306591,1.1102230246251565e-16
32,69,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.3572454440589178,1.1102230246251565e-16
32,70,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.2995137734468397,1.1102230246251565e-16
32,71,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.34265003181970777,1.1102230246251565e-16
32,72,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.37136414302645326,1.1102230246251565e-16
32,73,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.20496049361183233,1.1102230246251565e-16
32,74,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.18781393128581553,1.1102230246251565e-16
32,75,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4491501121552901,1.1102230246251565e-16
32,76,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3585384483001852,1.1102230246251565e-16
32,77,True,True,1.6653345369377348e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.1518400826877942,1.1102230246251565e-16
32,78,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.28250389727841446,1.1102230246251565e-16
32,79,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4282397547659873,1.1102230246251565e-16
64,0,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.20375336366895735,1.6653345369377348e-16
64,1,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.11057998414542884,1.1102230246251565e-16
64,2,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.07647814622560029,1.1102230246251565e-16
64,3,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.224730421373166,1.1102230246251565e-16
64,4,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.18864946448291087,2.220446049250313e-16
64,5,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.3384373513717247,1.6653345369377348e-16
64,6,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.30626093053274694,1.6653345369377348e-16
64,7,True,True,1.1102230246251565e-16,8.326672684688674e-17,1.1102230246251565e-16,0.0,0.3355505766585797,1.1102230246251565e-16
64,8,True,True,1.6653345369377348e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.13884622845960892,1.6653345369377348e-16
64,9,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.07813607143056092,1.1102230246251565e-16
64,10,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.11883270273440914,1.1102230246251565e-16
64,11,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.307185386185162,1.1102230246251565e-16
64,12,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.18487724882362877,1.1102230246251565e-16
64,13,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.23323817626026105,2.220446049250313e-16
64,14,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.15031568432540235,1.1102230246251565e-16
64,15,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3491936832945536,1.1102230246251565e-16
64,16,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.13554083894571348,1.1102230246251565e-16
64,17,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3553942796742236,2.220446049250313e-16
64,18,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.308111951924448,1.6653345369377348e-16
64,19,True,True,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.12883277583709793,1.1102230246251565e-16
64,20,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.34419527528949845,1.1102230246251565e-16
64,21,True,True,2.220446049250313e-16,1.6653345369377348e-16,1.6653345369377348e-16,0.0,0.2613151739971038,1.6653345369377348e-16
64,22,True,True,1.6653345369377348e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.21383904363394549,1.6653345369377348e-16
